,Subcategory
0,Algebra 
1,Basic Math
2,Calculus 
3,Data Analysis
4,Entrepreneurship
5,Excel
6,Financial Math
7,Geometry
8,GMAT
9,Javascript
10,Linear Algebra
11,Machine Learning
12,Matrix
13,Minitab
14,Office Productivity
15,Physics
16,PMP Certification
17,Project Management
18,Python
19,Statistical Modeling
20,Statistics and Probability 
21,Trigonometry
22,Math
23,Logic
24,Statistics
