,Subcategory
0,Animal Health
1,Dance
2,Calisthenics
3,Coaching
4,Cooking
5,Dance 
6,Entrepreneurship
7,First Aid
8,Fitness 
9,Health
10,Herbal
11,Hip Hop Dance
12,Hypnotize
13,Save a Life
14,Martial Arts 
15,Meditation 
16,Nutrition 
17,Salsa Dancing
18,Weight Loss 
19,Yoga 
