,Subcategory
0,3D Printing
1,Agriculture
2,Ansys
3,Architecture
4,Arduino 
5,Astronomy
6,Autodesk Fusion 360
7,C++ 
8,CATIA
9,Data Structures and Algorithms
10,Data Structures with Python
11,Django
12,Electronics
13,GIS
14,Internet of Things
15,Mechanics
16,Microcontrollers
17,Onshape
18,Physics
19,Python 
20,Raspberry Pi
21,Revit 
22,Robotics
23,Thermodynamics
24,Engineering
25,Algorithms
26,Matlab
27,Hardware
28,Autonomous Systems
